trial,condition,backend,L_over_E,P_exact,P_measured,counts_0,counts_1,shots
4,raw,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0125,1975,25,2000
4,mitigated,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0185,1963,37,2000
4,raw,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.416,1168,832,2000
4,mitigated,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.411,1178,822,2000
4,raw,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.952,96,1904,2000
4,mitigated,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.9625,75,1925,2000
4,raw,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.7065,587,1413,2000
4,mitigated,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.693,614,1386,2000
4,raw,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.095,1810,190,2000
4,mitigated,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.099,1802,198,2000
4,raw,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.141,1718,282,2000
4,mitigated,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.15,1700,300,2000
4,raw,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.774,452,1548,2000
4,mitigated,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.7635,473,1527,2000
4,raw,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.9265,147,1853,2000
4,mitigated,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.9225,155,1845,2000
4,raw,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.3335,1333,667,2000
4,mitigated,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.358,1284,716,2000
4,raw,ibm_marrakesh,2000.0,0.004441885743635534,0.0125,1975,25,2000
4,mitigated,ibm_marrakesh,2000.0,0.004441885743635534,0.0175,1965,35,2000
